dept,arrv
DBQ,GPT
DBQ,SGF
DBQ,SBA
DBQ,FSD
DBQ,VPS
DBQ,TLH
DBQ,MFE
DBQ,AVL
DBQ,CRP
DBQ,SBN
DBQ,ROA
DBQ,PSC
DBQ,MFR
DBQ,ABE
DBQ,MSO
DBQ,FWA
DBQ,GRB
DBQ,CHA
DBQ,RAP
DBQ,SHV
DBQ,MOB
DBQ,JAC
DBQ,CRW
DBQ,ATW
DBQ,BGR
DBQ,AGS
DBQ,FAY
DBQ,GRK
DBQ,BIS
DBQ,RDM
DBQ,LFT
DBQ,MOT
DBQ,LAN
DBQ,AVP
DBQ,BQN
DBQ,BMI
DBQ,MLB
DBQ,GJT
DBQ,ASE
DBQ,MRY
DBQ,TRI
DBQ,STX
DBQ,FCA
DBQ,CHO
DBQ,DRO
DBQ,TVC
DBQ,AEX
DBQ,GTF
DBQ,MGM
DBQ,PGD
DBQ,ACK
DBQ,EGE
DBQ,OAJ
DBQ,SWF
DBQ,EVV
DBQ,LNK
DBQ,BET
DBQ,DLH
DBQ,PBG
DBQ,GFK
DBQ,TTN
DBQ,IDA
DBQ,BFL
DBQ,SBP
DBQ,IFP
DBQ,SCE
DBQ,ELM
DBQ,AZO
DBQ,LBE
DBQ,GCN
DBQ,KTN
DBQ,EWN
DBQ,MBS
DBQ,CWA
DBQ,MLU
DBQ,STS
DBQ,LRD
DBQ,RST
DBQ,ERI
DBQ,RFD
DBQ,HTS
DBQ,ILG
DBQ,BLD
DBQ,ITH
DBQ,IAG
DBQ,ENA
DBQ,HLN
DBQ,ISN
DBQ,PSE
DBQ,BGM
DBQ,LSE
DBQ,LYH
DBQ,HDN
DBQ,CPR
DBQ,TOL
DBQ,HYA
DBQ,CMI
DBQ,MTJ
DBQ,BRO
DBQ,FSM
DBQ,ADQ
DBQ,SIT
DBQ,YUM
DBQ,HHH
DBQ,SCC
DBQ,TYR
DBQ,ABI
DBQ,CLL
DBQ,SCK
DBQ,SPI
DBQ,OTZ
DBQ,SAF
DBQ,MHK
DBQ,LCH
DBQ,GRI
DBQ,MKK
DBQ,SBY
DBQ,LWS
DBQ,ACT
DBQ,PGV
DBQ,OME
DBQ,GCW
DBQ,CSG
DBQ,FLG
DBQ,ORH
DBQ,ACV
DBQ,VQS
DBQ,SJT
DBQ,LAW
DBQ,YKM
DBQ,FLO
DBQ,CLD
