Airport name,DST,IATA,ICAO,Location served,Time
New Coalinga Municipal Airport (FAA: C80),Mar-Nov,CLG,,"Coalinga, California, United States",UTC−08:00
Coolah Airport,Oct-Apr,CLH,YCAH,"Coolah, New South Wales, Australia",UTC+10:00
Clintonville Municipal Airport,Mar-Nov,CLI,KCLI,"Clintonville, Wisconsin, United States",UTC−06:00
Cluj-Napoca International Airport,Mar-Oct,CLJ,LRCL,"Cluj-Napoca, Romania",UTC+02:00
Clinton Regional Airport,Mar-Nov,CLK,KCLK,"Clinton, Oklahoma, United States",UTC−06:00
Easterwood Airport (Easterwood Field),Mar-Nov,CLL,KCLL,"College Station, Texas, United States",UTC−06:00
William R. Fairchild International Airport,Mar-Nov,CLM,KCLM,"Port Angeles, Washington, United States",UTC−08:00
Carolina Airport,,CLN,SBCI,"Carolina, Maranhão, Brazil",UTC−03:00
Alfonso Bonilla Aragón International Airport,,CLO,SKCL,"Cali, Colombia",UTC−05:00
Clarks Point Airport,Mar-Nov,CLP,PFCL,"Clark's Point, Alaska, United States",UTC−09:00
Licenciado Miguel de la Madrid Airport,Apr-Oct,CLQ,MMIA,"Colima City, Colima, Mexico",UTC−06:00
Cliff Hatfield Memorial Airport[1],Mar-Nov,CLR,KCLR,"Calipatria, California, United States",UTC−08:00
Chehalis-Centralia Airport,Mar-Nov,CLS,KCLS,"Chehalis, Washington, United States",UTC−08:00
Charlotte Douglas International Airport,Mar-Nov,CLT,KCLT,"Charlotte, North Carolina, United States",UTC−05:00
Columbus Municipal Airport (FAA: BAK),Mar-Nov,CLU,KBAK,"Columbus, Indiana, United States",UTC−05:00
Caldas Novas Airport,Oct-Feb,CLV,SWKN,"Caldas Novas, Goiás, Brazil",UTC−03:00
Clearwater Air Park,Mar-Nov,CLW,KCLW,"Clearwater, Florida, United States",UTC−05:00
Clorinda Airport,,CLX,SATC,"Clorinda, Formosa, Argentina",UTC−03:00
Calvi – Sainte-Catherine Airport,Mar-Oct,CLY,LFKC,"Calvi, Corsica, France",UTC+01:00
Calabozo Airport,,CLZ,SVCL,"Calabozo, Venezuela",UTC−04:00
Cunnamulla Airport,,CMA,YCMU,"Cunnamulla, Queensland, Australia",UTC+10:00
Bandaranaike International Airport,,CMB,VCBI,"Colombo, Sri Lanka",UTC+05:30
Camocim Airport,,CMC,SNWC,"Camocim, Ceará, Brazil",UTC−03:00
Cootamundra Airport,Oct-Apr,CMD,YCTM,"Cootamundra, New South Wales, Australia",UTC+10:00
Ciudad del Carmen International Airport,Apr-Oct,CME,MMCE,"Ciudad del Carmen, Campeche, Mexico",UTC−06:00
Chambéry-Savoie Airport,Mar-Oct,CMF,LFLB,"Chambéry, Rhône-Alpes, France",UTC+01:00
Corumbá International Airport,Oct-Feb,CMG,SBCR,"Corumbá, Mato Grosso do Sul, Brazil",UTC−04:00
Port Columbus International Airport,Mar-Nov,CMH,KCMH,"Columbus, Ohio, United States",UTC−05:00
University of Illinois Willard Airport,Mar-Nov,CMI,KCMI,"Champaign, Illinois, United States",UTC−06:00
Qimei Airport,,CMJ,RCCM,"Qimei, Taiwan",UTC+08:00
Club Makokola Airport,,CMK,FWCM,"Club Makokola, Malawi",UTC+02:00
